fare_id,route_id,origin_id,destination_id
100_00,1041,2_01,4_01
100_00,1041,2_01,5_01
100_00,1041,2_01,6_01
100_00,1041,2_01,8_01
100_00,1041,2_01,10_01
100_00,1041,2_01,12_01
100_00,1041,2_01,14_01
100_00,1041,2_01,16_01
140_00,1041,2_01,18_01
140_00,1041,2_01,20_01
140_00,1041,2_01,22_01
140_00,1041,2_01,24_01
140_00,1041,2_01,26_01
150_00,1041,2_01,28_01
150_00,1041,2_01,30_01
160_00,1041,2_01,32_01
160_00,1041,2_01,34_01
180_00,1041,2_01,36_01
180_00,1041,2_01,38_01
180_00,1041,2_01,40_01
210_00,1041,2_01,42_01
210_00,1041,2_01,44_01
210_00,1041,2_01,46_01
230_00,1041,2_01,48_01
230_00,1041,2_01,50_01
230_00,1041,2_01,54_01
260_00,1041,2_01,56_01
260_00,1041,2_01,58_01
280_00,1041,2_01,62_01
280_00,1041,2_01,64_01
300_00,1041,2_01,66_01
300_00,1041,2_01,68_01
330_00,1041,2_01,70_01
330_00,1041,2_01,72_01
330_00,1041,2_01,74_01
330_00,1041,2_01,76_01
350_00,1041,2_01,78_01
370_00,1041,2_01,80_01
370_00,1041,2_01,82_01
390_00,1041,2_01,84_01
420_00,1041,2_01,86_01
420_00,1041,2_01,88_01
440_00,1041,2_01,90_01
440_00,1041,2_01,92_01
470_00,1041,2_01,94_01
470_00,1041,2_01,96_01
100_00,1041,4_01,5_01
100_00,1041,4_01,6_01
100_00,1041,4_01,8_01
100_00,1041,4_01,10_01
100_00,1041,4_01,12_01
100_00,1041,4_01,14_01
100_00,1041,4_01,16_01
140_00,1041,4_01,18_01
140_00,1041,4_01,20_01
140_00,1041,4_01,22_01
140_00,1041,4_01,24_01
140_00,1041,4_01,26_01
150_00,1041,4_01,28_01
150_00,1041,4_01,30_01
160_00,1041,4_01,32_01
160_00,1041,4_01,34_01
180_00,1041,4_01,36_01
180_00,1041,4_01,38_01
180_00,1041,4_01,40_01
210_00,1041,4_01,42_01
210_00,1041,4_01,44_01
210_00,1041,4_01,46_01
230_00,1041,4_01,48_01
230_00,1041,4_01,50_01
230_00,1041,4_01,54_01
260_00,1041,4_01,56_01
260_00,1041,4_01,58_01
280_00,1041,4_01,62_01
280_00,1041,4_01,64_01
300_00,1041,4_01,66_01
300_00,1041,4_01,68_01
330_00,1041,4_01,70_01
330_00,1041,4_01,72_01
330_00,1041,4_01,74_01
330_00,1041,4_01,76_01
350_00,1041,4_01,78_01
370_00,1041,4_01,80_01
370_00,1041,4_01,82_01
390_00,1041,4_01,84_01
420_00,1041,4_01,86_01
420_00,1041,4_01,88_01
440_00,1041,4_01,90_01
440_00,1041,4_01,92_01
470_00,1041,4_01,94_01
470_00,1041,4_01,96_01
100_00,1041,5_01,6_01
100_00,1041,5_01,8_01
100_00,1041,5_01,10_01
100_00,1041,5_01,12_01
100_00,1041,5_01,14_01
100_00,1041,5_01,16_01
140_00,1041,5_01,18_01
140_00,1041,5_01,20_01
140_00,1041,5_01,22_01
140_00,1041,5_01,24_01
140_00,1041,5_01,26_01
150_00,1041,5_01,28_01
150_00,1041,5_01,30_01
160_00,1041,5_01,32_01
160_00,1041,5_01,34_01
180_00,1041,5_01,36_01
180_00,1041,5_01,38_01
180_00,1041,5_01,40_01
210_00,1041,5_01,42_01
210_00,1041,5_01,44_01
210_00,1041,5_01,46_01
230_00,1041,5_01,48_01
230_00,1041,5_01,50_01
230_00,1041,5_01,54_01
260_00,1041,5_01,56_01
260_00,1041,5_01,58_01
280_00,1041,5_01,62_01
